"THEKEY","DESCRIPTION"
"4013870:274018","I don't use software or third party distribution, incentives or sub affiliates. There is nothing more to it than simple word of mouth. For example my co workers need a hotel, I tell them to go on my site and click on my hotels.com link for good savings. They have gone in, booked a room, stayed and paid their entire stay on their own. I like to travel so once in a while you will see transactions for myself as well. I know alot of business people that travel all over the world such as pilots, flight attendants, company owners etc. I always suggest to them to go to my site to check out the best deals. My links are on my website. I might even email or text a link to someone if they need quick assistance on their mobile device. But other than that, that's pretty much it. I can guaranty continued sales specially in the travel industry. I look forward to being successful together. I maybe reached at 609-805-1744 if you have any other questions."
"4016125:319373","Exercise-Science-Guide.com provides free educational planning information in the areas of health care and fitness. Our web property is monetized through site wide implementation of a cost-per-click (CPC) advertising platform (Google AdSense) as well as related affiliate cost-per-action (CPA) and cost-per-lead (CPL) programs. "
"4023499:306435","Travel with Grant is a blog focused on frequent flyer miles, hotel loyalty points, credit card rewards, and cash back deals.  I also share my tips and tricks to travel around the world without spending a fortune.  If you want to learn how to travel cheaply, following Travel with Grant."
"4025828:295377","For a brief period and for a limited number of users (3 in total), we are alpha testing a new feature (Bring in a Pro) to determine concept feasibility.  As of 10/17/14, we have concluded our test with 2 of the 3 users; the trial with the remaining user is in process but we expect to conclude the trial by the end of Oct. 2014.  During this alpha test, we have had to submit orders on behalf of the 3 users who participated in demo.  After the conclusion of this alpha test, all users, including those who opt for Bring in a Pro, will submit their own orders.  Users outside of this alpha test have been and will continue to submit their own orders. 

The demo was a success and we have already decided to go forward with build-out of the full concept.  

Please let us know if you have questions.

Andrea Helft

bluGloss Co-Founder
650-776-9140"
"4044349:270591","We will offer %50 of the received commission to our members as CASH BACK. Also we have 100 pro members providing a list of required ISBN with quantity and price everyday. We search all textbook marketplaces and purchase the books we find for them."
"4077981:276597","Sub Affiliate Network:Selling Blentec products directly on our website (www.deiequipment.com) and processing orders manually through Blendtec's website. As per Nathan Hirst's email dated 07/25/2013 Ricardo, Thank you for your email. In general, our affiliates link individuals to our site and the individual places the order themselves. If you are going to be collecting their information from your site and entering it on ours, just make sure you click through your affiliate link when you come to Blendtec.com. This will ensure that you receive the appropriate commissions. Thank you, Nate"
"4083472:273127","We help our clients and visitors increase their resume exposure on the internet for free. When they visit our website they can can do one of three options: 1) Click on any of our advertisers and go directly to their site; 2) post their resume and allow us to give it to our advertisers or 3) call our direct line and speak to me personally to get advice in their job search. (Which is usually to go to our advertisers websites and submit their resumes)."
"4097453:287486","PICCING:  An image-sharing social media platform, that turns images into reality through e-commerce. 

As photo-sharing becomes increasingly popular in social networking, no doubt users see items within those images they’d love to have. 

We’ve made it possible to purchase those items by adding innovative functionality. 

 Not only can you discover, recommend and share your favourite things, you can purchase exactly what you want directly from an image."
"4097453:287484","Piccing: an image-sharing social media platform, that turns images into reality through e-commerce. 
Not only can you discover, recommend and share your favourite things, you can purchase exactly what you want directly from an image."
"4134076:328325","Shoppable® for Retailers: 
Shoppable® is a marketing and sales channel enabling retailers to extend their product reach, acquire new customers, and drive sales. The current product catalog covers all categories including apparel &amp; accessories, home, electronics and gadgets, health &amp; beauty, books, sporting goods and fitness, pets, children &amp; baby, gourmet food, and gifts."
"4147366:297761","Nevada Corporate Headquarters, Inc. is the industry leader in providing business to business services to business owners all across the country. Our clients range from start-ups to billion dollar companies in virtually all industries and professions.

In addition to providing incorporating services and many other business services “in-house’, we also direct our clients to a variety of 3rd party resources for their business needs. Whether they are setting up a home office, doing tenant improvements to a retail location, rehabbing multiple investment properties or looking for major pieces of equipment, our business owners need a variety of products and services to get their business set up properly and then expand over time. When we recommend a particular company for products and services that our clients can use they almost always follow our recommendations."
"4179959:298532","We are a third-party loan and line of credit referral service. We are not a lender and do not give out loans. We pre-qualify customers and direct them to third-party lenders for approval or denial."
"4197329:329991","Reviews, tutorials that mentions products, etc. Basically I provide an informative post on one of my blogs, and mention the product or service in the post. People get interested and visit the link. Lol I really don't know what else to say it's pretty cut and dry"
"4200117:338834","Definition of Lending at BrainyQuote, an extensive collection of quotations by famous authors, celebrities, and newsmakers. Unfortunately, there’s not a lot you can do except wait it out. Your new, good habits will show up, and that will help your score, but the old stuff will remain for a while."
"4212371:288006","St Peter's Episcopal Church is a non-profitable religious community within the Diocese of Newark (NJ) that gives back through many charitable venues.  The parish exists to celebrate our Christian faith through worship, fellowship, and demonstrating Christian love in the name of our lord, Jesus Christ.  Our call has been to Join In &amp; Reach Out to the world.  We share our gifts and talents with our neighbors and those in need.  Peace/Shalom - St Peter's."
"4248592:322107","We create websites/content around popular vacation areas such as lakes and beaches. We then pack those websites with valuable content about the particular area. We try to create comprehensive ""list"" of services as well as a benefit to the readers of our website(s). Finally, we monetize our site through affiliate links for lodging."
"4252162:289886","Bidtellect was founded by John Ferber who co-founded and sold Advertising.com to AOL for $500mm. Our executive team has backgrounds from CNET, AOL, Millennial Media, PointRoll, Shoplocal and Ask.com. We promote CPA brands through native advertising across our extensive publisher network. The network consists of top tier sites such as Yahoo and Forbes with Bidtellect having access to 1.2 Billion monthly native ad visits. Across the network, your brand will be promoted via 5 unique native advertising products. (1.) In-Stream: We place contextual listings within desktop and mobile feeds displaying your brand's title, description and optional thumbnail image. (2.) Overlay: Your fully functional website appears within a Lightbox environment in between our publisher's page views. The product is similar to a homepage take over. (3.) Direct Navigation &amp; Brand Protection: The user is redirected (0-click) to your brand's website when a relevant domain name or brand nxtld is typed into the users browser. (4.) In-Image: The user is taken directly to your brand's website when they click on an image containing the advertisers product (via KW tags). (5.) Keyword text links. We display keyword text links on our network, Forbes.com being an example partner site."
"4296622:320455","Our business model is to sell all kinds of items to the customer. Not only that we will provide lots kinds of news, discount and more to share in our website, it will be the best side to promote. In average, our website has more than 5000 visitor per month"
"4318692:292085","SaleCycle enables you to identify the exact moment a customer abandons on your site and reconnect before they go elsewhere;
tempting them to complete their purchase right then, or making sure it’s you they come to when they’re ready to buy.
On-Site Remarketing helps you plug the biggest hole in your ecommerce funnel, and get more online conversions."
"4330372:352542","We currently have a No Fee, Lead Generation model.  We collect visitors' contact information then advertise to them through email marketing.

Once our website reaches an extensive amount of content, we will be moving to a subscription based model.  We are forecasting this business model for 2016.
"
"4358496:298930","Our auto repair loan website has become one of the better sources for auto repair loans. We work with our network of auto repair shops which is growing every day. The repair shops send there clients to our website which assists them in getting auto repair loans. "
"4420877:371539","We connect people to your site to shop.  We do this via linking to your site from inside our app and also sharing promotions about your site from within our app.  We also provide a filter process and search engine that allows people to find items that are on your site from our platform. Once we are an affiliate or yours we embed you within our search engine."
"4441680:297727","LeadFlash provides application and matching services through our four different products, for customers interested in receiving:

Personal loans
Installment loans
Payday loans
Title loans
 
Our 100% online process provides customers with a safe and easy way to find the exact loan product that matches their needs. All of our sites follow the industry best practices for keeping customer information safe and secure while matching them with the Lender best suited for their specific criteria. Due to our use of https to protect user privacy, Advertisers will not be able to retrieve referring URL info through CJ reporting. We are able to pass referring URL in the SID field at the Advertiser's request."
"4461463:352878","UpLift, Inc. - Payment Marketing Platform - https://www.uplift.com/merchants/

Questions - please feel free to contact us at any time! Natalie Mullin - nmullin@uplift.com

FAQs:
- We're not another card linked offer program. 
- We're pay-for-performance ONLY; no slotting fees, no placement premiums, no IOs. 
- Simple integration - there's no IT work needed! All we need is for an advertiser/retailer to implement our tag on site - that's it!
- We're in the Tealium, Ensighten, Signal marketplaces and we also work with other tag managers - implementation can take a matter of minutes! All of the configuration, etc. is done on our end.
- Seamless user experience; stacking concerns and viral overexposure of an exclusive coupon/offer - in a nutshell, our technology inherently protects against these issues. This allows us to effectively and insightfully market the most compelling consumer offers available from a brand to premium shoppers.
- Real-time consumer shopping insights."
"4468690:307833","Our website focuses on the target niche of the best web hosting providers for 2015. Our website is highly optimized for certain keywords and we also work to generate backlinks consistently to increase our pagerank. Our primary direct traffic comes from traffic exchanges. We use a variety of international traffic exchanges to help promote our website and drive traffic. When we are able to, we select US only traffic if the traffic exchange has this option. Users from these traffic exchanges are shown our website only, at no point are they ever forced or tricked into clicking a link. We also do not do any direct referral linking from the traffic exchanges. All traffic goes to our website first, then a user has the option to further explore their web hosting options."
"4469913:298875","LeadFlash provides application and matching services through our four different products, for customers interested in receiving:

Personal loans
Installment loans
Payday loans
Title loans
 
Our 100% online process provides customers with a safe and easy way to find the exact loan product that matches their needs. All of our sites follow the industry best practices for keeping customer information safe and secure while matching them with the Lender best suited for their specific criteria. Due to our use of https to protect user privacy, Advertisers will not be able to retrieve referring URL info through CJ reporting. We are able to pass referring URL in the SID field at the Advertiser's request.
"
"4475054:304446","TravelersMed.com has stressed personalized service for our travel insurance clients since 2004. We offer low cost travel insurance including short and long term Medical, Trip Cancellation and Emergency Evacuation from the Nation's top providers and are rated A+ by the Better Business Bureau.  We can help you to easily determine which travel insurance plan will best fit your specific needs."
"4484894:312790","We drive traffic to our site for users interested in moving. We provide a service which caters to these customers to assist in facilitating moving requirements such as address changes and service changes. We offer our clients who purchase our service the ability to view a network of offers that cater to their current situation."
"4485588:302864","We are a successful family-owned business running over 20 years providing computer sales and service to our community of Rome, GA. We are the longest running business in our field. We are always educating ourselves with the latest technological advances so that we can properly support our clients."
"4509862:318254","We are a technology provider partner with likes of large software and hardware companies to provide server and products via affiliation. We specialize in Servers and Infrastructure and Infrastructure support. And we are looking for partners to allow affiliations. "
"4539478:326163","Ve Interactive is a dynamic display advertising, re-engagement and remarketing platform, designed to drive incremental revenue for e-commerce. VePlatform gives clients instant access to Ve's award-winning Apps, each designed to improve engagement, increase conversions and grow revenue throughout the customer experience. Contact Ve to discover free abandonment insights at all stages of the customer experience. 
"
"4623575:357652","Volusion is an all-in-one ecommerce solution for small business owners. We’ve helped over 40,000 customers launch a successful online business, and are growing that number each and every day. Beyond our powerful software platform, our award-winning team of ecommerce experts help customers every step of the way, including domain purchase, shopping cart integration, security, and web design.

To learn more about how Volusion works, click below to see a short video

http://www.youtube.com/watch?v=yiRK8kE5Yww"
