"THEKEY","TRIM(DESCRIPTION)"
"4254762:309127","Our crackerjack team is inspired daily by our simple mission: “To get people the insurance coverage they need and make them feel good about it.”

That means we’ve thoughtfully built our business for every type of insurance consumer who may come our way:
+ Detail-oriented? We’re building the best insurance content library out there.
+ More of a big picture person? Our Insurance Checkup is the best (and only) big picture tool around.
+ Convenience shopper? We’re building a one-stop shop. If you need life insurance and pet insurance, you shouldn’t have to go to a bunch of different sites.
+ Skeptic? We’re an independent site. We believe in unbiased advice and transparency. We’ll provide you with choice and the information you need to make the right decision.
+ Care about the environment? We’re trying to eliminate paper from the insurance buying process.
+ Love the internet but still want to talk to somebody? We’ve got licensed experts a click or call away.
+ Insurance: we couldn’t be more excited about it. And we hope you’ll join us on this journey.

What people are saying - we're fast becoming the go-to for consumers and the media for insurance advice
+ New York Times: http://www.nytimes.com/2014/09/13/your-money/life-and-disability-insurance/flat-on-your-back-not-a-good-time-to-consider-long-term-disability-insurance.html
+ Clark Howard: http://www.clarkhoward.com/new-easy-way-shop-insurance-online
+ Other press mentions see our press page: https://www.policygenius.com/about/press

Why you might want to work with us
+ 100,000 unique monthly users (30% m-o-m growth)
+ Loyal customer base (20,000 users subscribe to our newsletter and product updates)
+ Just starting to work with advertisers and we're looking to build long lasting relationships. Our goal is to partner with companies we're proud to associate our brand with

For more information feel free to contact Francois (Co-Founder) - francois@policygenius.com
"
"4321843:294750","Online gift card marketplace. Referral link is place in a users account to then shop online."
"4335660:297422","Manufacturer Website for Fitbit products and interactive tools."
"4342665:292051","Styhunt (http://www.styhunt.com/) is a fashion deals aggregator and price tracking website focuses on designer labels from top retailers. We help our users to find great deals on their favorite fashion styles by providing powerful insights such as price history, recent sales, and instant deal alerts."
"4374152:364372",""
"4407365:306951","Shopprice.us, USA based price comparison site, Here user can compare price from 2500 online shops, Shopping in online, choose your product and go . we have another service in UK. shopcost.co.uk is based on UK. other services are available on Australia(shopprice.com.au), Canada(shopprice.ca) etc. visit our company home page for more information url: shop-price.com"
"4509498:312485","MagnifyMoney is a price comparison website, founded by veteran consumer bankers (including Nick Clements, the former Managing Director of Barclaycard). The website (which is mobile friendly), focuses on 3 areas: (1) interactive product marketplaces that help consumers find products, (2) a blog (The Fine Print Blog) which regularly publishes educational materials, including ""Best Buy"" and Review"" posts, and (3) financial literacy programs that are used by colleges and universities. We are committed to enhancing transparency and helping consumers find the best personal loans, credit cards, savings accounts and student loan refinancing options."
"4516993:316117","Google Compare's credit card comparison service launched in the US in December 2013.

We make it easy for users to search for and compare top credit card deals. Our simple and transparent service helps customers find products that meet their requirements. 

Our credit card tables are built on years of experience in the competitive UK market. 
We have in-depth knowledge of the comparison process and drive quality conversions at competitive acquisition prices.

We run listings on a CPA basis and offer you a simple way to reach customers at a fixed price.
Product ranking is based on product features and user experience. 

We're looking for card providers to join our product tables."
"4573639:338414","My business include car insurance, business insurance, and I can choose different promotion way according to the task, involving financial, education, trial network, and tasks of life, I can be promoted"
"4597195:353496","Flightkitty is a flight, hotel, and travel search that has a consumer product and is working to power several different travel apps, some already with millions of downloads and hundreds of thousands of users.   Our consumer product combines one way tickets and incorporates baggage fees to provide consumers the best prices."
